ID,title,author,publisher,edition,year,genre_ID,totalCopies,availableCopies,description,createdAt,createdBy,modifiedAt,modifiedBy
c8f9b4a0-5a8f-4f4a-b8ad-3e3b4a2fdc21,The Alchemist,Paulo Coelho,HarperCollins,3rd,2015,a1b2c3d4-1111-4e5f-9a8b-1c2d3e4f5a6b,12,8,"A spiritual quest novel about pursuing dreams",2024-03-12T10:15:00Z,admin,2025-01-18T09:00:00Z,librarian1
7e3a3d22-2f4e-49a2-9e2a-123e63bf05f5,To Kill a Mockingbird,Harper Lee,J.B. Lippincott & Co.,2nd,2010,a1b2c3d4-1111-4e5f-9a8b-1c2d3e4f5a6b,10,4,"A classic story of justice and race in the American South",2023-11-05T14:22:00Z,admin,2024-09-21T16:10:00Z,librarian2
b12f8ac9-d45e-4cf9-9308-b0f3b9e16a5b,1984,George Orwell,Secker & Warburg,1st,2009,c3d4e5f6-3333-4a7b-7c8d-3e4f5a6b7c8d,15,9,"Dystopian novel depicting a totalitarian regime",2023-10-25T08:45:00Z,admin,2025-02-11T12:30:00Z,librarian3
2b9a8b9c-6a67-4b89-9033-712c4b97b540,The Great Gatsby,F. Scott Fitzgerald,Charles Scribner's Sons,5th,2020,a1b2c3d4-1111-4e5f-9a8b-1c2d3e4f5a6b,8,2,"Tragic story of love and ambition in the Jazz Age",2024-01-10T11:30:00Z,admin,2025-03-15T10:00:00Z,librarian2
a4df7f2a-10ac-4a55-947f-b67822ac5d43,The Hobbit,J.R.R. Tolkien,George Allen & Unwin,4th,2018,d4e5f6a7-4444-4b8c-6d9e-4f5a6b7c8d9e,20,15,"Fantasy adventure about Bilbo Baggins and dragons",2023-12-14T09:00:00Z,admin,2024-12-30T18:00:00Z,librarian1
8f3d2c6e-cb72-4a27-9df3-8b4e4b8578b0,The Catcher in the Rye,J.D. Salinger,Little Brown and Company,3rd,2016,a1b2c3d4-1111-4e5f-9a8b-1c2d3e4f5a6b,10,7,"Story of teenage alienation and rebellion",2024-04-02T07:25:00Z,admin,2025-04-01T15:20:00Z,librarian2
a77f5e3d-df1f-4f4e-bf6c-4ad8e0bb2b88,Sapiens: A Brief History of Humankind,Yuval Noah Harari,Harper,2nd,2017,b2c3d4e5-2222-4f6a-8b9c-2d3e4f5a6b7c,18,13,"Exploration of human evolution and history",2024-02-20T13:10:00Z,admin,2025-02-01T12:00:00Z,librarian3
de4a4f90-1b77-4e12-8b90-fd6e7f3b985e,Becoming,Michelle Obama,Crown Publishing,1st,2018,f6a7b8c9-6666-4d0e-4f1a-6b7c8d9e0f1a,14,9,"Autobiography of the former First Lady of the United States",2023-09-11T09:30:00Z,admin,2025-03-03T11:45:00Z,librarian1
d2c4a15f-fb44-4a33-9a3e-9ab6cb8d7d4c,The Silent Patient,Alex Michaelides,Orion Books,2nd,2019,c3d4e5f6-3333-4a7b-7c8d-3e4f5a6b7c8d,16,11,"Thriller novel about a womanâ€™s mysterious silence",2024-05-05T10:40:00Z,admin,2025-06-18T08:55:00Z,librarian2
f9e1c26b-0c64-45ab-8121-64ad3f4bb2ee,Atomic Habits,James Clear,Penguin Random House,3rd,2021,b2c3d4e5-2222-4f6a-8b9c-2d3e4f5a6b7c,22,18,"Guide to building good habits and breaking bad ones",2023-07-01T08:00:00Z,admin,2025-01-01T10:00:00Z,librarian1